aruco_ids,fruit_id,height,x,y,ma,MA,angle,perimeter,coff,calyx_MA,calyx_ma,calyx_MA_rel,calyx_ma_rel,area,maMAratio,KPIN,gt_weight,x_calyx_MA_rel,x_maMAratio,height_calyx_ma,perimeter_coff
839,-2455,1310.48938,3803.507324,371.0787354,45.65745376,60.72388814,92.33628845,167.942419,16.45149793,45.65745376,60.72388814,0.531696774,0.139435538,2177.514927,0.751886204,4217,53.71,2022.312574056173,2859.804683728558,79578.01051977795,2762.9043585376926
839,-2455,1267.668701,3806.32666,339.3550415,44.40333246,58.87566668,90.55913544,163.0276409,15.4706106,44.40333246,58.87566668,0.517778724,0.118130976,2053.247413,0.75418819,4217,53.71,1970.834961141982,2870.6866142541458,74634.83990074458,2522.1371494005334
839,-2455,1306.703857,3803.589355,294.9138489,45.40078571,60.63863522,87.76454926,167.4273296,16.96512022,45.40078571,60.63863522,0.5498536,0.131260329,2162.233882,0.748710546,4217,53.71,2091.417299768428,2847.7874627418378,79236.73852519004,2840.4247747775644
839,-2455,1313.371094,3800.245361,248.4371643,46.53525135,61.16981487,88.04203796,169.9645037,16.4305353,46.53525135,61.16981487,0.530565641,0.116508006,2235.677271,0.760755145,4217,53.71,2016.2796159162415,2891.056210643132,80338.66667558938,2792.6077777898304
839,-2455,1262.372559,3807.319092,245.7524414,45.03103368,58.78142395,86.78903961,163.7842344,16.19917395,45.03103368,58.78142395,0.543676308,0.131643233,2078.939735,0.766075924,4217,53.71,2069.9491873164725,2916.6954913667414,74204.05657342538,2653.1693033131737
839,-2455,1304.211304,3806.968994,188.3387146,46.24152223,60.84971355,86.09884644,169.0019581,17.26282194,46.24152223,60.84971355,0.553788242,0.144826261,2209.9403,0.75992999,4217,53.71,2108.2546665357686,2893.02990954073,79360.88425707196,2917.4507101916406
839,-2455,1298.149048,3803.796143,155.1918182,45.73168113,60.24667385,82.02654266,167.2520141,16.78594478,45.73168113,60.24667385,0.549075909,0.110466952,2163.91463,0.759073957,4217,53.71,2088.572824868419,2887.362589888348,78209.162303544,2807.4830730263816
839,-2455,1300.337158,3805.233154,123.3076553,45.1564848,61.06398189,80.59749603,167.7875589,17.08648317,45.1564848,61.06398189,0.552951072,0.120717594,2165.684204,0.739494599,4217,53.71,2104.107751714241,2813.9493653187355,79403.76466700608,2866.899301280234
837,-2045,1360.905518,1309.221924,1072.805908,45.36438253,56.49634174,61.87247467,160.4805539,8.261560861,45.36438253,56.49634174,0.25424036,0.178277362,2012.913964,0.802961415,4217,53.77,332.8570532776526,1051.2546886440623,76886.18322077973,1325.8198630518407
837,-2045,1362.417969,1316.184326,988.1837158,45.00089524,55.74775868,63.5451355,158.7061139,8.873518612,45.00089524,55.74775868,0.27017769,0.208363234,1970.327625,0.807223399,4217,53.77,355.60364081288697,1062.454785344244,75951.74815710772,1408.2816555298418
837,-2045,1359.734741,1303.608643,897.383606,45.60270705,55.84585705,67.34783173,159.7614359,9.042651906,45.60270705,55.84585705,0.273132417,0.218000522,2000.190985,0.816581739,4217,53.77,356.05777948468017,1064.5030126763702,75935.55197180477,1444.667052846432
837,-2045,1354.701416,1305.0625,822.4815674,46.30871033,55.14863997,67.20005798,159.671441,8.506487511,46.30871033,55.14863997,0.239142613,0.222208827,2005.798833,0.839707205,4217,53.77,312.0960563783125,1095.8703842253124,74709.9406578332,1358.2431187298732
837,-2045,1345.778931,1299.652588,745.3753052,45.96000642,55.07961509,70.47344971,159.0360677,8.45135539,45.96000642,55.07961509,0.242089547,0.230311764,1988.203613,0.834428606,4217,53.77,314.6323062862976,1084.4672972891324,74124.98551571167,1344.0703279608
837,-2045,1342.102905,1295.617798,665.3400879,46.0671203,54.62905895,71.51512909,158.4592026,9.265651291,46.0671203,54.62905895,0.263829687,0.25362032,1976.535712,0.84327135,4217,53.77,341.82243811796917,1092.5573696034874,73317.81871421124,1468.2277151415203
837,-2045,1343.833618,1296.200073,589.8636475,46.53922719,54.61284726,71.41152954,159.1424668,9.660066977,46.53922719,54.61284726,0.2544916,0.282201207,1996.199157,0.852166285,4217,53.77,329.8720304978868,1104.5780008251388,73390.58012268718,1537.3268881729987
837,-2045,1345.535889,1295.995361,504.3471375,47.74413873,54.65219595,79.19089508,161.0268537,10.05928252,47.74413873,54.65219595,0.280415505,0.27643869,2049.356726,0.87359964,4217,53.77,363.41719363247233,1132.18108081127,73536.49106338545,1619.8146146750073
837,-2045,1344.233398,1300.201416,429.8699036,47.07588619,55.75025875,85.40965271,161.8064228,10.10500727,47.07588619,55.75025875,0.277676301,0.266614029,2061.271854,0.844406596,4217,53.77,361.03511974984224,1097.8986517989401,74941.35975889173,1635.0550787266939
837,-2045,1334.345215,1293.956543,354.0913696,49.00821171,55.28968619,89.58553314,163.9793505,10.25387915,49.00821171,55.28968619,0.304380458,0.246453848,2128.15307,0.886389761,4217,53.77,393.85508519043674,1146.9498308941563,73775.52820647808,1681.424443122492
837,-2045,1330.300293,1293.04834,278.4183655,49.2576779,54.09085331,84.98509216,162.428266,10.98507268,49.2576779,54.09085331,0.287119372,0.317060699,2092.606879,0.910647085,4217,53.77,371.25922734644246,1177.510701585089,71957.07800691303,1784.286307296373
837,-2045,1329.908813,1287.033569,211.3824921,49.71393925,54.25319227,86.04608154,163.389025,11.7858008,49.71393925,54.25319227,0.305021451,0.340827595,2118.328728,0.916332057,4217,53.77,392.5728467020886,1179.3501177098215,72151.79853325647,1925.6705015562202
672,-2801,1316.378418,1828.447876,966.4803467,46.15931465,51.53718298,34.32798767,153.5775739,3.702330536,46.15931465,51.53718298,0.105415264,0.106248883,1868.40022,0.895650712,4217,53.87,192.74631555877926,1637.6506419942878,67842.43539938892,568.5949414947667
672,-2801,1360.178101,1829.876221,890.1937866,47.34260702,53.56167933,40.87833023,158.6506406,3.859127398,47.34260702,53.56167933,0.10230751,0.11295679,1991.573028,0.88388952,4217,53.87,187.21007977871972,1617.408414639104,72853.42327745035,612.2530338497112
672,-2801,1348.281494,1823.424683,833.0493164,47.74163494,52.39325353,47.013134,157.3763825,3.960053338,47.74163494,52.39325353,0.117373064,0.104944107,1964.547515,0.911217222,4217,53.87,214.0209420169387,1661.5359741694906,70640.85414494917,623.2188688414898
672,-2801,1339.092163,1825.434326,773.5134888,48.2799814,52.20575522,48.21234512,157.9028608,3.088785985,48.2799814,52.20575522,0.085902209,0.085395894,1979.590487,0.924801896,4217,53.87,156.80884098782613,1688.1651257082822,69908.31767859834,487.7281434304459
672,-2801,1350.307007,1826.326904,633.2196655,47.66376027,51.15813364,68.12567902,155.2775945,3.726724963,47.66376027,51.15813364,0.108265684,0.106611975,1915.106256,0.931694667,4217,53.87,197.72853146916233,1701.579036655421,69079.18631913443,578.6768876177415
672,-2801,1342.146606,1823.927734,571.3598022,47.2921492,49.834683,90.87715149,152.5926093,5.116267151,47.2921492,49.834683,0.196800919,0.064818975,1851.017959,0.948980637,4217,53.87,358.95065424078757,1730.8721028532866,66885.4506495359,780.704554446967
672,-2801,1340.046997,1827.510498,501.5278625,47.95802624,49.86764327,74.16854858,153.6788413,5.112270892,47.95802624,49.86764327,0.149953843,0.143325282,1878.321918,0.961706291,4217,53.87,274.04222229794385,1757.528342795143,66824.98561143076,785.6478670942773
672,-2801,1336.344604,1824.096802,440.3755493,47.576762,49.33195881,91.44826508,152.2363468,5.059654747,47.576762,49.33195881,0.187260908,0.085692051,1843.372579,0.964420695,4217,53.87,341.5820234224162,1759.1967055321174,65924.49696049377,770.2633547525583
672,-2801,1341.313721,1822.884766,363.9178467,47.57728608,49.59962926,93.03118134,152.6616696,5.592791355,47.57728608,49.59962926,0.189849042,0.128027535,1853.394957,0.959226647,4217,53.87,346.0729265014941,1748.5596419575595,66528.66328295108,853.8048659787464
672,-2801,1330.983765,1818.612915,168.4273987,46.85367274,50.0628712,123.2362213,152.2778847,7.265228954,46.85367274,50.0628712,0.281516144,0.076673198,1842.25301,0.935896636,4217,53.87,511.9688952593998,1702.0337093346538,66632.86879648606,1106.3336969763136
